AALST,6741,25,1905,34,1648,35
AALST-KERREBROEK,26,537,,,,
AALTER,2178,64,981,53,765,72
AARSCHOT,6090,29,2171,30,1252,46
AARSELE,37,520,,,,
ACREN,179,373,77,296,80,274
AISEAU,81,470,29,414,24,415
ALKEN,565,187,237,147,321,125
AMAY,274,293,90,275,71,293
AMPSIN,144,410,27,426,22,423
ANDENNE,1615,84,418,103,420,101
ANGLEUR,642,165,100,262,91,254
ANS,1156,108,147,203,130,214
ANSEREMME,62,499,143,209,57,323
ANTOING,269,295,137,213,133,210
ANTWERPEN-BERCHEM,15001,12,7304,12,8488,9
ANTWERPEN-CAAL,36823,5,25453,1,19471,4
ANTWERPEN-LUCHTBAL,576,182,92,271,103,237
ANTWERPEN-NOORDERDOKKEN,184,369,48,356,31,390
ANTWERPEN-ZUID,2594,55,475,93,578,85
ANZEGEM,163,393,,,,
APPELTERRE,228,318,52,342,48,351
ARCADES,59,503,,,,
ARCHENNES,116,441,28,421,23,419
ARLON,4769,38,1517,41,2481,22
ASSE,952,123,260,138,165,183
ASSESSE,172,385,48,357,30,394
ATH,5334,35,3120,21,2593,21
ATHUS,1036,116,209,164,134,209
AUBANGE,76,476,,,,
AUVELAIS,497,207,218,158,202,164
AYE,44,515,13,483,17,450
AYWAILLE,223,324,72,299,73,290
BAASRODE-ZUID,182,372,,,,
BALEGEM-DORP,284,287,82,289,78,282
BALEGEM-ZUID,189,361,,,,
BALEN,356,255,117,235,94,247
BAMBRUGGE,39,517,,,,
BARVAUX,329,264,107,250,121,222
BAS-OHA,58,504,25,434,57,324
BASSE-WAVRE,461,222,70,306,52,342
BEAURAING,242,308,102,258,138,204
BEERNEM,647,164,230,152,206,160
BEERSEL,290,286,53,340,36,381
BEERVELDE,201,347,73,298,49,349
BEGIJNENDIJK,272,294,155,198,103,238
BEIGNEE,14,549,,,,
BELLEM,183,370,71,302,41,366
BELSELE,311,269,51,346,62,312
BERCHEM-ST-AG.-BERCHEM,770,146,166,188,158,193
BERINGEN,118,438,57,330,26,411
BERLAAR,414,238,196,171,195,167
BERTRIX,330,263,109,245,170,179
BERZEE,187,364,32,402,48,352
BEUZET,113,445,18,465,16,460
BEVEREN,1011,117,294,127,284,133
BEVERLO,156,402,60,325,53,334
BIERGES-WALIBI,154,404,797,67,578,86
BIERSET-AWANS,106,450,27,427,22,424
BILZEN,590,179,218,159,324,124
BINCHE,398,244,136,215,105,236
BISSEGEM,232,316,137,214,160,190
BLANKENBERGE,1795,75,1821,35,1673,33
BLANMONT,176,380,29,415,24,416
BLATON,504,202,147,204,148,198
BLERET,52,506,,,,
BOCKSTAEL,888,132,119,230,139,203
BOECHOUT,486,212,164,190,172,177
BOITSFORT/BOSVOORDE,855,137,149,200,121,223
BOKRIJK,186,366,113,240,162,186
BOMAL,222,325,91,272,90,257
BOOISCHOT,295,283,128,222,107,232
BOOM,307,276,107,251,76,284
BOONDAEL/BOONDAAL,1133,110,244,143,121,224
BOORTMEERBEEK,603,173,193,173,211,157
BORDET,1409,93,127,225,68,298
BORNEM,861,135,265,135,277,136
BOUSSU,193,357,36,391,58,321
BOUWEL,463,221,201,167,192,168
BRACQUEGNIES,125,429,45,368,22,425
BRAINE-l’ALLEUD,5618,34,1934,33,1443,41
BRAINE-LE-COMTE,4840,37,3453,19,2024,26
BRESSOUX,142,411,32,403,17,451
BRU.-CENT.,60899,2,23739,3,23107,2
BRU.-CHAP./KAP.,230,317,,,,
BRU.-CONG.,524,196,,,,
BRU.-LUXEMBG,8784,18,2274,27,1790,29
BRU.-MIDI/ZUID,58035,3,21961,5,23837,1
BRU.-NOORD/NORD,62344,1,24707,2,21430,3
BRU.-SCHUMAN,8517,20,1817,36,1784,30
BRU.-WEST/OUEST,119,436,47,360,26,412
BRU. AIRPORT - ZAVENTEM,9403,15,5637,15,6048,14
BRUGELETTE,228,319,71,303,63,309
BRUGGE,17689,11,13968,6,13376,6
BRUGGE-SINT-PIETERS,67,489,15,479,15,464
BUDA,101,454,,,,
BUGGENHOUT,519,199,197,169,269,139
BUIZINGEN,457,223,79,294,66,302
BURST,980,122,124,227,135,208
CALLENELLE,20,544,,,,
CAMBRON-CASTEAU,193,358,372,112,233,149
CARLSBOURG,38,519,14,481,41,367
CARNIERES,129,424,37,387,12,475
CEROUX-MOUSTY,234,313,43,372,23,420
CHAPELLE-DIEU,26,538,,,,
CHAPOIS,35,523,16,474,11,479
CHARLEROI-OUEST,67,490,20,459,21,431
CHARLEROI-SUD,11778,13,5350,16,4507,16
CHASTRE,307,277,56,333,58,322
CHATEAU-DE-SEILLES,104,452,37,388,17,452
CHATELET,739,150,272,133,244,145
CHAUDFONTAINE,39,518,29,416,23,421
CHENEE,97,458,35,392,24,417
CINEY,1924,69,796,68,907,59
COMBLAIN-LA-TOUR,138,413,67,310,81,270
COMINES/KOMEN,487,211,200,168,331,121
COO,36,522,41,375,49,350
COUILLET,75,477,,,,
COUR-SUR-HEURE,28,534,19,462,29,399
COURCELLES-MOTTE,199,350,25,435,11,480
COURRIERE,200,348,29,417,30,395
COURT-SAINT-ETIENNE,408,239,67,311,47,354
COUVIN,248,307,87,278,219,154
DAVE-SAINT-MARTIN,83,467,17,468,11,481
DE HOEK,233,315,122,229,81,271
DE PANNE,763,147,637,82,927,58
DE PINTE,1661,80,477,91,345,120
DEINZE,2183,63,699,77,738,74
DELTA,346,257,,,,
DENDERLEEUW,9770,14,1781,38,1618,36
DENDERMONDE,5907,30,1361,45,1447,40
DIEGEM,1370,96,313,123,291,129
DIEPENBEEK,449,226,162,192,141,202
DIEST,3022,51,919,58,1203,47
DIKSMUIDE,608,171,237,148,450,93
DILBEEK,712,155,142,210,150,195
DINANT,1332,98,712,75,688,77
DOLHAIN-GILEPPE,162,396,33,397,27,408
DRONGEN,385,246,95,268,54,332
DUFFEL,897,130,316,121,201,165
DUINBERGEN,204,341,116,237,126,218
ECAUSSINNES,690,158,164,191,97,244
EDE,510,200,,,,
EEKLO,892,131,307,124,259,142
EICHEM,100,455,10,489,9,484
EINE,443,227,144,207,92,252
EKE-NAZARETH,428,232,106,254,66,303
EKEREN,992,120,274,132,267,140
ENGHIEN/EDINGEN,3936,43,1244,47,1102,52
ENGIS,177,374,47,361,46,357
EPPEGEM,742,149,128,223,88,261
ERBISOEUL,68,486,16,475,13,472
EREMBODEGEM,787,141,236,150,230,150
ERNAGE,114,443,22,449,16,461
ERPE-MERE,50,508,,,,
ERPS-KWERPS,306,278,57,331,42,364
ERQUELINNES,254,305,80,291,74,287
ERQUELINNES-VILLAGE,44,516,21,452,12,476
ESNEUX,158,400,86,279,64,307
ESSEN,1577,86,1192,48,988,57
ESSENE-LOMBEEK,327,265,47,362,50,347
ETTERBEEK,7536,22,791,69,564,88
EUPEN,464,220,479,90,467,92
EVERE,684,159,65,316,26,413
EVERGEM,310,271,40,380,56,327
EZEMAAL,216,330,93,270,90,258
FAMILLEUREUX,64,494,,,,
FARCIENNES,173,383,40,381,27,409
FAUX,156,403,25,436,23,422
FEXHE-LE-HT-CLOCHER,147,407,20,460,17,453
FLAWINNE,63,496,20,461,6,492
FLEMALLE-GRANDE,87,462,21,453,20,436
FLEMALLE-HAUTE,1197,104,875,63,799,68
FLEURUS,442,228,101,260,113,227
FLOREFFE,204,342,33,398,22,426
FLORENVILLE,165,391,46,366,91,255
FLORIVAL,108,449,33,399,17,454
FONTAINE-VALMONT,79,474,25,437,24,418
FORCHIES,133,420,33,400,29,400
FOREST-EST/VORST-OOST,486,213,100,263,77,283
FOREST-MIDI/VORST-ZUID,215,331,29,418,28,405
FORRIERES,33,527,23,442,15,465
FRAIPONT,80,471,44,370,30,396
FRAMERIES,269,296,,,,
FRANCHIMONT,221,326,43,373,34,384
FRANIERE,153,406,41,376,29,401
FROYENNES,676,162,27,428,12,477
GALMAARDEN,339,260,51,347,61,316
GASTUCHE,204,343,51,348,53,335
GAVERE-ASPER,539,191,169,186,106,235
GEDINNE,121,435,32,404,83,267
GEEL,1816,73,753,72,596,83
GEMBLOUX,6706,26,2099,31,1686,32
GENDRON-CELLES,23,542,23,443,10,483
GENK,1214,103,774,71,1513,37
GENLY,124,433,,,,
GENT-DAMPOORT,5699,32,2454,25,1883,28
GENT-SINT-PIETERS,56189,4,22000,4,18195,5
GENTBRUGGE,480,215,149,201,97,245
GENVAL,1308,99,428,101,314,126
GERAARDSBERGEN,2931,52,854,64,800,67
GERMOIR/MOUTERIJ,365,252,41,377,21,432
GHLIN,30,530,,,,
GLONS,106,451,18,466,19,440
GODARVILLE,112,446,30,410,14,469
GODINNE,373,251,136,216,122,221
GONTRODE,154,405,47,363,30,397
GOUVY,214,332,85,281,133,211
GOUY-LEZ-PIETON,86,464,17,469,18,443
GRAIDE,65,492,32,405,79,278
GROENENDAAL,577,181,146,205,138,205
GROOT-BIJGAARDEN,442,229,96,267,94,248
GRUPONT,34,526,17,470,18,444
HAACHT,715,154,227,155,196,166
HAALTERT,578,180,133,219,110,228
HABAY,46,513,21,454,21,433
HAININ,69,485,26,430,18,445
HALANZY,84,466,,,,
HALLE,8641,19,6137,14,4835,15
HAM-SUR-HEURE,80,472,21,455,38,373
HAM-SUR-SAMBRE,8,552,,,,
HAMBOS,29,532,,,,
HAMOIR,269,297,84,285,79,279
HAMONT,165,392,117,236,207,159
HANSBEKE,259,301,89,276,70,296
HARCHIES,22,543,,,,
HARELBEKE,1084,114,246,142,410,105
HAREN,251,306,28,422,16,462
HAREN-ZUID/SUD,576,183,119,231,86,264
HASSELT,7226,23,2925,22,2682,18
HAUTE-FLONE,95,459,15,480,13,473
HAVERSIN,75,478,19,463,31,391
HAVRE,63,497,21,456,14,470
HEIDE,996,119,345,117,346,119
HEIST,421,236,149,202,162,187
HEIST-OP-DEN-BERG,1796,74,914,59,793,70
HEIZIJDE,279,289,49,355,71,294
HEMIKSEM,236,310,125,226,72,291
HENNUYERES,417,237,62,321,62,313
HERENT,631,168,156,196,132,212
HERENTALS,3966,42,1287,46,1159,49
HERGENRATH,19,545,26,431,22,427
HERNE,319,267,52,343,55,330
HERSEAUX,504,203,217,161,289,130
HERSTAL,344,258,325,119,244,146
HERZELE,528,194,116,238,138,206
HEUSDEN,145,409,55,336,39,370
HEVER,142,412,,,,
HEVERLEE,524,197,109,246,53,336
HILLEGEM,118,439,,,,
HOBOKEN-POLDER,235,311,111,242,87,263
HOEILAART,258,302,107,252,107,233
HOFSTADE,68,487,,,,
HOLLEKEN,191,359,108,249,79,280
HONY,65,493,11,487,9,485
HOURAING,128,425,52,344,38,374
HOURPES,10,551,,,,
HOUYET,90,460,28,423,44,360
HOVE,503,205,172,181,149,196
HUIZINGEN,318,268,39,384,22,428
HUY,2169,65,535,87,489,90
IDDERGEM,163,394,46,367,37,375
IDEGEM,198,351,37,389,53,337
IEPER,1191,105,528,88,699,76
INGELMUNSTER,849,138,218,160,218,155
IZEGEM,1421,92,377,110,416,104
JAMBES,1176,107,415,104,769,71
JAMBES-EST,117,440,14,482,8,487
JAMIOULX,33,528,16,476,21,434
JEMAPPES,481,214,186,175,170,180
JEMEPPE-SUR-MEUSE,127,427,30,411,32,387
JEMEPPE-SUR-SAMBRE,362,253,162,193,164,185
JETTE,3442,47,673,79,645,78
JURBISE,1436,90,323,120,287,131
JUSLENVILLE,87,463,51,349,48,353
KALMTHOUT,887,133,237,149,278,135
KAPELLE-OP-DEN-BOS,401,242,173,180,159,191
KAPELLEN,1153,109,375,111,384,111
KESSEL,401,243,165,189,127,216
KIEWIT,737,151,88,277,326,123
KIJKUIT,173,384,110,244,68,299
KNOKKE,727,152,624,83,706,75
KOKSIJDE,306,279,129,221,313,127
KONTICH-LINT,936,125,354,116,360,117
KORTEMARK,528,195,193,174,409,106
KORTENBERG,752,148,170,184,174,174
KORTRIJK,8914,17,4221,17,4464,17
KWATRECHT,122,434,23,444,17,455
LA HULPE,1108,111,279,130,276,137
LA LOUVIERE-CENTRE,1242,101,611,85,404,108
LA LOUVIERE-SUD,2831,53,1038,51,840,61
LA ROCHE,160,398,38,386,22,429
LABUISSIERE,74,480,23,445,18,446
LANDEGEM,535,192,151,199,148,199
LANDELIES,75,479,23,446,14,471
LANDEN,3644,45,1557,39,1418,42
LANDSKOUTER,80,473,,,,
LANGDORP,207,339,31,408,107,234
LE CAMPINAIRE,60,501,,,,
LEBBEKE,439,230,85,282,91,256
LEDE,1236,102,407,106,392,109
LEIGNON,35,524,16,477,17,456
LEMAN,64,495,,,,
LEMBEEK,596,177,86,280,99,243
LENS,119,437,41,378,29,402
LEOPOLDSBURG,428,233,172,182,161,188
LESSINES,600,175,259,139,171,178
LEUVEN,33932,6,13125,7,10816,7
LEUZE,1788,76,431,100,422,100
LEVAL,160,399,35,393,37,376
LIBRAMONT,1897,71,812,65,1510,38
LICHTERVELDE,3046,49,1811,37,2267,24
LIEDEKERKE,1979,68,780,70,594,84
LIEGE-CARRE,1579,85,560,86,351,118
LIEGE-GUILLEMINS,17843,10,9758,8,8519,8
LIEGE-SAINT-LAMBERT,3035,50,1513,42,1039,54
LIER,5651,33,2256,28,2251,25
LIERDE,402,241,105,255,131,213
LIERS,220,327,101,261,85,266
LIGNY,166,390,33,401,28,406
LILLOIS,569,185,119,232,80,275
LIMAL,374,250,59,326,56,328
LINKEBEEK,1074,115,261,137,187,170
LISSEWEGE,188,363,39,385,41,368
LOBBES,136,417,45,369,53,338
LODELINSART,99,457,18,467,32,388
LOKEREN,5302,36,2396,26,1902,27
LOMMEL,540,190,298,126,418,102
LONDERZEEL,900,128,171,183,255,143
LONZEE,137,415,22,450,19,441
LOT,495,208,105,256,83,268
LOUVAIN-LA-NEUVE,6170,28,2544,23,1274,45
LUSTIN,386,245,134,217,90,259
LUTTRE,1830,72,494,89,434,96
MAFFLE,134,419,41,379,39,371
MALDEREN,297,282,65,317,100,241
MANAGE,264,299,85,283,57,325
MARBEHAN,678,161,314,122,821,63
MARCHE-EN-FAMENNE,340,259,91,273,123,220
MARCHE-LES-DAMES,45,514,7,494,8,488
MARCHE-LEZ-ECAUSSINNES,137,416,,,,
MARCHIENNE-AU-PONT,1384,95,898,62,874,60
MARCHIENNE-ZONE,31,529,8,491,7,491
MARIA-AALTER,189,362,102,259,52,343
MARIEMBOURG,162,397,48,358,94,249
MARLOIE,1621,82,904,60,1355,43
MASNUY-SAINT-PIERRE,29,533,,,,
MAUBRAY,16,548,,,,
MAZY,27,535,,,,
MECHELEN,19457,9,8021,11,6845,12
MECHELEN-NEKKERSPOEL,1991,67,1150,49,820,64
MEISER,772,145,63,319,43,362
MELKOUWEN,235,312,105,257,57,326
MELLE,900,129,186,176,159,192
MELREUX-HOTTON,292,285,128,224,125,219
MELSELE,177,375,30,412,36,382
MENEN,775,144,424,102,435,95
MERCHTEM,727,153,244,144,136,207
MERELBEKE,912,127,179,178,130,215
MERODE,504,204,,,,
MERY,82,468,9,490,18,447
MESSANCY,56,505,,,,
MEVERGNIES-ATTRE,89,461,,,,
MILMORT,336,261,17,471,17,457
MOENSBERG,493,210,63,320,55,331
MOL,2354,60,943,54,1090,53
MOLLEM,280,288,70,307,51,344
MOMALLE,82,469,26,432,18,448
MONS,9273,16,4145,18,2434,23
MONT-SAINT-GUIBERT,425,235,71,304,59,320
MOORTSELE,132,421,30,413,27,410
MORLANWELZ,309,273,62,322,46,358
MORTSEL,564,188,144,208,65,305
MORTSEL-DEURNESTEENWEG,0,553,,,37,377
MORTSEL-LIERSESTEENWEG,196,354,51,350,1,495
MORTSEL-OUDE-GOD,801,139,454,94,372,115
MOUSCRON/MOESKROEN,1668,79,723,74,750,73
MOUSTIER,239,309,56,334,44,361
MUIZEN,209,335,54,339,79,281
MUNKZWALM,279,290,97,266,94,250
NAMECHE,116,442,17,472,19,442
NAMUR,21793,7,9540,9,7689,11
NANINNE,175,382,29,419,20,437
NATOYE,132,422,42,374,30,398
NEERPELT,430,231,210,162,427,99
NEERWINDEN,176,381,53,341,83,269
NESSONVAUX,213,333,95,269,60,317
NEUFCHATEAU,114,444,24,441,75,286
NEUFVILLES,52,507,,,,
NIEL,208,337,118,234,97,246
NIEUWKERKEN-WAAS,136,418,40,382,47,355
NIJLEN,604,172,284,128,230,151
NIMY,66,491,16,478,8,489
NINOVE,1432,91,344,118,206,161
NIVELLES,4589,40,1393,44,1032,55
NOORDERKEMPEN,1394,94,443,96,629,80
NOSSEGEM,523,198,83,287,74,288
OBAIX-BUZET,204,344,,,,
OBOURG,19,546,,,,
OKEGEM,198,352,58,329,35,383
OLEN,624,169,265,136,211,158
OOSTENDE,6742,24,6831,13,6710,13
OOSTKAMP,170,386,67,312,53,339
OPWIJK,1094,112,269,134,188,169
OTTIGNIES,20152,8,8647,10,8326,10
OUD-HEVERLEE,169,387,44,371,28,407
OUDEGEM,177,376,,,,
OUDENAARDE,3377,48,927,57,802,66
OUGREE,60,502,19,464,13,474
OVERPELT,275,292,116,239,174,175
PALISEUL,68,488,26,433,53,340
PAPIGNIES,73,482,21,457,20,438
PECROT,218,328,52,345,43,363
PEPINSTER,1334,97,390,108,374,114
PEPINSTER-CITE,30,531,29,420,21,435
PERUWELZ,573,184,196,172,184,171
PHILIPPEVILLE,427,234,61,324,62,314
PIETON,130,423,28,424,9,486
POIX-SAINT-HUBERT,24,540,13,484,18,449
PONT-A-CELLES,86,465,21,458,17,458
PONT-DE-SERAING,227,322,12,486,11,482
POPERINGE,542,189,299,125,625,81
POULSEUR,163,395,66,313,53,341
PROFONDSART,204,345,59,327,54,333
PRY,24,541,,,,
PUURS,1508,88,613,84,573,87
QUAREGNON,494,209,170,185,147,201
QUEVY,168,388,,,,
QUIEVRAIN,362,254,233,151,108,231
REBAIX,79,475,32,406,26,414
REMICOURT,177,377,31,409,39,372
RHISNES,185,367,34,394,31,392
RIVAGE,200,349,48,359,80,276
RIXENSART,1291,100,240,145,282,134
ROCHEFORT-JEMELLE,651,163,366,113,490,89
ROESELARE,2720,54,805,66,1026,56
RONET,50,509,8,492,6,493
RONSE/RENAIX,1088,113,435,99,409,107
ROUX,128,426,34,395,16,463
RUISBR.-SAUVEGARDE,187,365,56,335,62,315
RUISBROEK,602,174,162,194,121,225
SART-BERNARD,125,430,27,429,12,478
SCHAARBEEK/SCHAERBEEK,3524,46,662,80,429,98
SCHELDEWINDEKE,331,262,80,292,81,272
SCHELLE,190,360,109,247,70,297
SCHELLEBELLE,407,240,83,288,86,265
SCHENDELBEKE,207,340,65,318,47,356
SCHOONAARDE,228,320,91,274,118,226
SCHULEN,256,303,57,332,89,260
SCLAIGNEAUX,71,483,13,485,15,466
SCLESSIN,37,521,,,,
SERAING,234,314,55,337,32,389
SERSKAMP,197,353,50,354,45,359
SILLY,1180,106,252,141,205,163
SIMONIS,127,428,32,407,29,403
SINAAI,308,275,62,323,60,318
SLEIDINGE,224,323,80,293,72,292
SOIGNIES,2446,59,412,105,331,122
SOLRE-SUR-SAMBRE,63,498,25,438,40,369
SPA,311,270,169,187,169,181
SPA-GERONSTERE,321,266,197,170,184,172
ST-DENIJS-BOEKEL,194,355,,,,
ST-DENIS-BOVESSE,147,408,28,425,22,430
ST-GEN-RODE/RHODE-ST-GEN,1676,78,438,97,300,128
ST-GHISLAIN,2317,61,736,73,633,79
ST-GILLIS,125,431,22,451,15,467
ST-JOB,991,121,156,197,127,217
ST-JORIS-WEERT,294,284,74,297,100,242
ST-KATELIJNE-WAVER,860,136,210,163,148,200
ST-MARIABURG,167,389,111,243,67,300
ST-MARTENS-BODEGEM,376,249,84,286,64,308
ST-NIKLAAS,8008,21,3207,20,2652,19
ST-TRUIDEN,1526,87,901,61,811,65
STATTE,465,219,653,81,600,82
STOCKEM,18,547,5,495,0,496
SY,74,481,11,488,20,439
TAMINES,1465,89,454,95,377,113
TEMSE,712,156,221,157,237,148
TERHAGEN,183,371,,,,
TERNAT,876,134,228,153,182,173
TESTELT,310,272,55,338,93,251
THEUX,109,448,70,308,63,310
THIEU,70,484,25,439,15,468
THUIN,228,321,47,364,65,306
THULIN,110,447,25,440,29,404
TIELEN,698,157,182,177,261,141
TIELT,1003,118,357,114,388,110
TIENEN,4157,41,1492,43,1314,44
TILFF,100,456,23,447,34,385
TILLY,209,336,34,396,37,378
TOLLEMBEEK,255,304,51,351,51,345
TONGEREN,679,160,240,146,242,147
TORHOUT,1766,77,388,109,472,91
TOUR ET TAXIS/THURN EN TAXIS,102,453,51,352,33,386
TOURNAI,6455,27,1535,40,1728,31
TROIS-PONTS,177,378,72,300,165,184
TROOZ,138,414,47,365,37,379
TUBIZE,2482,58,1042,50,1122,51
TURNHOUT,1642,81,708,76,1130,50
UCCLE/UKKEL-CALEVOET,952,124,207,165,161,189
UCCLE/UKKEL-STALLE,299,281,134,218,80,277
VELTEM,384,248,59,328,74,289
VERTRIJK,472,217,119,233,152,194
VERVIERS-CENTRAL,3769,44,2528,24,2594,20
VERVIERS-PALAIS,11,550,23,448,17,459
VEURNE,568,186,205,166,432,97
VIANE-MOERBEKE,454,224,81,290,63,311
VICHTE,217,329,,,,
VIELSALM,309,274,99,264,174,176
VIJFHUIZEN,35,525,,,,
VILLE-POMMEROEUL,27,536,,,,
VILLERS-LA-VILLE,267,298,85,284,51,346
VILVOORDE,5848,31,2175,29,1656,34
VIRTON,385,247,68,309,149,197
VISE,642,166,477,92,365,116
VIVIER D’OIE/DIESDELLE,778,143,140,211,88,262
VIVILLE,25,539,8,493,5,494
VOROUX,48,512,,,,
WAARSCHOOT,213,334,109,248,56,329
WALCOURT,306,280,72,301,92,253
WAREGEM,2508,56,1023,52,1197,48
WAREMME,1994,66,437,98,417,103
WATERLOO,2202,62,686,78,437,94
WATERMAEL/WATERMAAL,185,368,79,295,66,304
WAVRE,927,126,356,115,249,144
WEERDE,638,167,99,265,67,301
WELKENRAEDT,1911,70,1958,32,1474,39
WELLE,194,356,,,,
WERVIK,599,176,284,129,285,132
WESPELAAR-TILDONK,467,218,124,228,109,230
WETTEREN,2489,57,939,55,832,62
WEVELGEM,451,225,259,140,273,138
WEZEMAAL,784,142,276,131,214,156
WICHELEN,158,401,,,,
WIJGMAAL,506,201,140,212,102,239
WILDERT,204,346,130,220,102,240
WILLEBROEK,612,170,178,179,206,162
WOLFSTEE,49,510,,,,
WONDELGEM,177,379,66,314,37,380
YVES-GOMEZEE,49,511,17,473,8,490
YVOIR,502,206,228,154,223,153
ZANDBERGEN,208,338,51,353,42,365
ZAVENTEM,1617,83,401,107,379,112
ZEDELGEM,592,178,146,206,167,182
ZEEBRUGGE-DORP,350,256,,,,
ZEEBRUGGE-STRAND,,,71,305,60,319
ZELE,792,140,223,156,224,152
ZELLIK,480,216,107,253,81,273
ZICHEM,279,291,66,315,71,295
ZINGEM,534,193,162,195,110,229
ZOLDER,125,432,40,383,50,348
ZONHOVEN,61,500,37,390,31,393
ZOTTEGEM,4718,39,931,56,796,69
ZWIJNDRECHT,262,300,113,241,76,285
